Node,Layer,Core Domain
Chinese academy of sciences,Main Concept,Natural Sciences
Solitude,Main Concept,Formal Sciences
Modified Rankin Scale,Main Concept,Health & Medical Sciences
Hyperostosis,Main Concept,Health & Medical Sciences
Clostridium,Main Concept,Health & Medical Sciences
Chloroquine,Main Concept,Life Sciences
Religious belief,Main Concept,Social Sciences & Humanities
Hollywood,Main Concept,Social Sciences & Humanities
Uterus,Main Concept,Health & Medical Sciences
Exotoxin,Main Concept,Health & Medical Sciences
Solvent,Main Concept,Life Sciences
Skin irritation,Main Concept,Health & Medical Sciences
Human factors and ergonomics,Main Concept,Social Sciences & Humanities
Psychological abuse,Main Concept,Social Sciences & Humanities
Cryptococcal meningitis,Main Concept,Health & Medical Sciences
Gambit,Main Concept,Social Sciences
Homogenization (climate),Main Concept,Formal Sciences
Critically ill,Main Concept,Health & Medical Sciences
Suspension culture,Main Concept,Life Sciences
Fuzzy electronics,Main Concept,Formal Sciences
Performance indicator,Main Concept,Formal Sciences
Haptoglobin,Main Concept,Health & Medical Sciences
Sustainability,Main Concept,Social Sciences & Humanities
Arduino,Main Concept,Formal Sciences
Inhalation exposure,Main Concept,Life Sciences
Military rule,Main Concept,Social Sciences
Adaptive capacity,Main Concept,Life Sciences
Investment casting,Main Concept,Engineering & Technology
Visual processing,Main Concept,Social Sciences & Humanities
Kinematics,Main Concept,Social Sciences & Humanities
Boltzmann distribution,Main Concept,Formal Sciences
Brain function,Main Concept,Social Sciences & Humanities
Zea mays,Main Concept,Life Sciences
Urban economics,Main Concept,Natural Sciences
Soft lithography,Main Concept,Engineering & Technology
Global biodiversity,Main Concept,Life Sciences
Purkinje cell,Main Concept,Health & Medical Sciences
Ordered probit,Main Concept,Engineering & Technology
Temporomandibular Joint Disorders,Core Thematic Domain,Health & Medical Sciences
Estimation of covariance matrices,Main Concept,Formal Sciences
Landslide,Main Concept,Formal Sciences
Optical modulator,Main Concept,Natural Sciences
International banking,Main Concept,Social Sciences & Humanities
Nitro,Main Concept,Life Sciences
Tafel equation,Main Concept,Engineering & Technology
Markov chain mixing time,Main Concept,Formal Sciences
Revenue equivalence,Main Concept,Social Sciences & Humanities
Unit vector,Main Concept,Natural Sciences
External quality assessment,Main Concept,Health & Medical Sciences
Renunciation,Main Concept,Social Sciences & Humanities
Complicated grief,Main Concept,Social Sciences & Humanities
Breast disease,Main Concept,Health & Medical Sciences
Microsome,Main Concept,Health & Medical Sciences
Computer vision,Main Concept,Social Sciences & Humanities
Grafting,Main Concept,Health & Medical Sciences
Endogenous retrovirus,Main Concept,Life Sciences
21st century skills,Main Concept,Formal Sciences
Evangelism,Main Concept,Social Sciences & Humanities
Substance use,Main Concept,Health & Medical Sciences
Nanobiotechnology,Main Concept,Engineering & Technology
Inertial reference unit,Main Concept,Engineering & Technology
Bioreactor landfill,Main Concept,Engineering & Technology
Disposition effect,Main Concept,Social Sciences & Humanities
Jeremy bentham,Main Concept,Social Sciences
Dielectric properties of ceramics,Core Thematic Domain,Engineering & Technology
Confluent hypergeometric function,Main Concept,Engineering & Technology
Rapid prototyping,Main Concept,Health & Medical Sciences
Cognitive behavioral therapy,Main Concept,Social Sciences & Humanities
Drug interaction,Main Concept,Natural Sciences
Operating cost,Main Concept,Engineering & Technology
Blattodea,Main Concept,Life Sciences
Shading,Main Concept,Engineering & Technology
Veterinary Pharmacology and Anesthesia,Core Thematic Domain,Life Sciences
Phantom energy,Main Concept,Natural Sciences
Motor system,Main Concept,Social Sciences & Humanities
Copper toxicity,Main Concept,Health & Medical Sciences
Theory of computation,Main Concept,Formal Sciences
Hamming code,Main Concept,Formal Sciences
Cultural property,Main Concept,Social Sciences & Humanities
Nitrogen cycle,Main Concept,Life Sciences
Reprint,Main Concept,Formal Sciences
Medieval History and Crusades,Core Thematic Domain,Social Sciences & Humanities
Hypogene,Main Concept,Social Sciences & Humanities
ISA100.11a,Main Concept,Engineering & Technology
Consumer safety,Main Concept,Health & Medical Sciences
Legibility,Main Concept,Social Sciences
Active appearance model,Main Concept,Formal Sciences
Seigniorage,Main Concept,Social Sciences & Humanities
Subfamily,Main Concept,Health & Medical Sciences
Chemokine receptors and signaling,Core Thematic Domain,Health & Medical Sciences
Inflammatory Myopathies and Dermatomyositis,Core Thematic Domain,Health & Medical Sciences
Diversity (politics),Main Concept,Social Sciences & Humanities
Propellant,Main Concept,Engineering & Technology
Computer science,Main Concept,Social Sciences & Humanities
Sociopolitical Dynamics in Nepal,Core Thematic Domain,Social Sciences
Geodesy,Main Concept,Social Sciences & Humanities
Intrusiveness,Main Concept,Social Sciences & Humanities
K-optimal pattern discovery,Main Concept,Formal Sciences
Cost effectiveness,Main Concept,Health & Medical Sciences
Energy conversion efficiency,Main Concept,Engineering & Technology
Coronary occlusion,Main Concept,Health & Medical Sciences
Antiinflammatory drug,Main Concept,Health & Medical Sciences
Human genetics,Main Concept,Formal Sciences
Laminin,Main Concept,Health & Medical Sciences
Environmental Science,Academic Discipline,Natural Sciences
Congenital heart defects research,Core Thematic Domain,Life Sciences
Binary number,Main Concept,Formal Sciences
Starling,Main Concept,Health & Medical Sciences
Magnetoresistance,Main Concept,Engineering & Technology
Renal physiology,Main Concept,Health & Medical Sciences
Loneliness,Main Concept,Social Sciences & Humanities
Phenomenological model,Main Concept,Engineering & Technology
Hypersensitive response,Main Concept,Life Sciences
Quantum Monte Carlo,Main Concept,Engineering & Technology
Abdominal vascular conditions and treatments,Core Thematic Domain,Health & Medical Sciences
Statistical learning,Main Concept,Social Sciences & Humanities
Enhanced Oil Recovery Techniques,Core Thematic Domain,Engineering & Technology
Myotome,Main Concept,Health & Medical Sciences
Sampling (signal processing),Main Concept,Social Sciences & Humanities
"Botany, Ecology, and Taxonomy Studies",Core Thematic Domain,Life Sciences
Pain Management and Placebo Effect,Core Thematic Domain,Life Sciences
Posterior communicating artery,Main Concept,Health & Medical Sciences
Liver abscess,Main Concept,Health & Medical Sciences
Spacer DNA,Main Concept,Life Sciences
Citizenship Education and Democracy,Core Thematic Domain,Social Sciences
Physical exercise,Main Concept,Social Sciences & Humanities
Shrimp farming,Main Concept,Life Sciences
Croatian,Main Concept,Social Sciences
Synthetic data,Main Concept,Natural Sciences
Urinary catheter,Main Concept,Health & Medical Sciences
Health belief model,Main Concept,Social Sciences & Humanities
Flexible display,Main Concept,Engineering & Technology
Unified Process,Main Concept,Formal Sciences
Stock assessment,Main Concept,Life Sciences
Root system,Main Concept,Life Sciences
Cybernetics,Main Concept,Formal Sciences
Neuroblastoma,Main Concept,Health & Medical Sciences
Impact resistance,Main Concept,Engineering & Technology
Respiratory burst,Main Concept,Life Sciences
Compensation (psychology),Main Concept,Social Sciences & Humanities
Vice president,Main Concept,Health & Medical Sciences
Regional Economics and Spatial Analysis,Core Thematic Domain,Social Sciences & Humanities
Telomerase RNA component,Main Concept,Natural Sciences
Albinism,Main Concept,Natural Sciences
Innovative Teaching Methods,Core Thematic Domain,Social Sciences
Hydrogen's biological and therapeutic effects,Core Thematic Domain,Health & Medical Sciences
Sociology of Education,Main Concept,Social Sciences & Humanities
Self-destructive behavior,Main Concept,Social Sciences
Convict,Main Concept,Social Sciences
Reproductive tract infections research,Core Thematic Domain,Health & Medical Sciences
Medical record,Main Concept,Health & Medical Sciences
Picosecond,Main Concept,Natural Sciences
Dishonesty,Main Concept,Social Sciences
Copper slag,Main Concept,Engineering & Technology
Sinusitis,Main Concept,Health & Medical Sciences
Lecture hall,Main Concept,Social Sciences
"Media, Communication, and Education",Core Thematic Domain,Social Sciences
Crime Patterns and Interventions,Core Thematic Domain,Social Sciences
Canopy clustering algorithm,Main Concept,Formal Sciences
Araldite,Main Concept,Engineering & Technology
Niclosamide,Main Concept,Health & Medical Sciences
Simian immunodeficiency virus,Main Concept,Health & Medical Sciences
k-means clustering,Main Concept,Formal Sciences
Food preservation,Main Concept,Life Sciences
Natural selection,Main Concept,Social Sciences & Humanities
Monte Carlo tree search,Main Concept,Social Sciences & Humanities
Karhunen–Loève theorem,Main Concept,Formal Sciences
Water resources management and optimization,Core Thematic Domain,Engineering & Technology
Philosophy and Education Pedagogy,Core Thematic Domain,Social Sciences
M2 Macrophage,Main Concept,Health & Medical Sciences
Semi-empirical mass formula,Main Concept,Social Sciences & Humanities
Nanowire battery,Main Concept,Engineering & Technology
Satellite altimetry,Main Concept,Social Sciences & Humanities
PINK1,Main Concept,Health & Medical Sciences
Brain development,Main Concept,Health & Medical Sciences
Vergence (optics),Main Concept,Engineering & Technology
Compliance (psychology),Main Concept,Social Sciences & Humanities
Proto-Oncogene Proteins c-myc,Main Concept,Health & Medical Sciences
Three-phase traffic theory,Main Concept,Social Sciences
Automotive and Human Injury Biomechanics,Core Thematic Domain,Health & Medical Sciences
Commutative Algebra and Its Applications,Core Thematic Domain,Formal Sciences
Quarantine,Main Concept,Social Sciences & Humanities
Supercapacitor,Main Concept,Engineering & Technology
Cervical screening,Main Concept,Health & Medical Sciences
Linguistic typology,Main Concept,Social Sciences
"Literacy, Media, and Education",Core Thematic Domain,Social Sciences & Humanities
Testicular diseases and treatments,Core Thematic Domain,Health & Medical Sciences
Crisis management,Main Concept,Life Sciences
Fugacity,Main Concept,Natural Sciences
Thioredoxin,Main Concept,Health & Medical Sciences
Late Antiquity,Main Concept,Social Sciences & Humanities
Ischemic preconditioning,Main Concept,Health & Medical Sciences
"Birth, Development, and Health",Core Thematic Domain,Health & Medical Sciences
Historical Turkish Studies,Core Thematic Domain,Social Sciences
Sheet metal,Main Concept,Engineering & Technology
Group analysis,Main Concept,Health & Medical Sciences
Bronchoalveolar lavage,Main Concept,Life Sciences
Biodiesel production,Main Concept,Life Sciences
Immigration Law and Human Rights,Core Thematic Domain,Social Sciences
Barthel index,Main Concept,Health & Medical Sciences
Annelid,Main Concept,Natural Sciences
Hydrogen economy,Main Concept,Engineering & Technology
Three-phase,Main Concept,Engineering & Technology
Antirheumatic Agents,Main Concept,Health & Medical Sciences
Replicon,Main Concept,Life Sciences
Omnipresence,Main Concept,Social Sciences & Humanities
Fiber bundle,Main Concept,Formal Sciences
Advanced Thermodynamic Systems and Engines,Core Thematic Domain,Engineering & Technology
Infant mortality,Main Concept,Health & Medical Sciences
Empiricism,Main Concept,Life Sciences
Orbiter,Main Concept,Engineering & Technology
Multicultural Education and Local Wisdom,Core Thematic Domain,Social Sciences
Klebsiella pneumoniae,Main Concept,Health & Medical Sciences
Spillage,Main Concept,Engineering & Technology
Enterprise architecture management,Main Concept,Life Sciences
Inflammatory pseudotumor,Main Concept,Health & Medical Sciences
Early Christianity,Main Concept,Social Sciences & Humanities
Midbrain reticular formation,Main Concept,Health & Medical Sciences
Linguistics and Discourse Analysis,Core Thematic Domain,Social Sciences & Humanities
Gel electrophoresis,Main Concept,Life Sciences
Strouhal number,Main Concept,Engineering & Technology
Logical truth,Main Concept,Social Sciences & Humanities
Calorimeter (particle physics),Main Concept,Natural Sciences
Back pain,Main Concept,Health & Medical Sciences
Filmography,Main Concept,Social Sciences
Bladder tumor,Main Concept,Health & Medical Sciences
Extended X-ray absorption fine structure,Main Concept,Engineering & Technology
Tumor immunology,Main Concept,Health & Medical Sciences
Accessible surface area,Main Concept,Health & Medical Sciences
Fuse (electrical),Main Concept,Engineering & Technology
Quaternary,Main Concept,Life Sciences
Condensed matter physics,Main Concept,Formal Sciences
Mass transport,Main Concept,Formal Sciences
Electronic cash,Main Concept,Social Sciences & Humanities
Granulocyte,Main Concept,Health & Medical Sciences
Histone deacetylase,Main Concept,Social Sciences & Humanities
Two-body problem,Main Concept,Engineering & Technology
Hydrogen storage,Main Concept,Engineering & Technology
Socioeconomic development,Main Concept,Natural Sciences
